TimeStamp,Command,Response
2024-03-17 22:48:19.202116,a,Data received successfully
2024-03-17 22:48:19.254145,w,Data received successfully
2024-03-17 22:48:19.317886,w,Data received successfully
2024-03-17 22:48:19.378537,w,Data received successfully
2024-03-17 22:48:19.439525,w,Data received successfully
2024-03-17 22:48:19.513075,w,Data received successfully
2024-03-17 22:48:19.590667,w,Data received successfully
2024-03-17 22:48:19.655818,w,Data received successfully
2024-03-17 22:48:19.723383,w,Data received successfully
2024-03-17 22:48:19.786925,w,Data received successfully
2024-03-17 22:48:19.846931,w,Data received successfully
2024-03-17 22:48:19.907454,w,Data received successfully
2024-03-17 22:48:19.960052,w,Data received successfully
2024-03-17 22:48:20.010108,w,Data received successfully
2024-03-17 22:48:20.066652,w,Data received successfully
2024-03-17 22:48:20.124658,w,Data received successfully
2024-03-17 22:48:20.183958,w,Data received successfully
2024-03-17 22:48:20.235968,w,Data received successfully
2024-03-17 22:48:20.288513,w,Data received successfully
2024-03-17 22:48:20.337530,w,Data received successfully
2024-03-17 22:48:20.405767,w,Data received successfully
2024-03-17 22:48:20.459046,w,Data received successfully
2024-03-17 22:48:20.509396,w,Data received successfully
2024-03-17 22:48:20.568167,w,Data received successfully
2024-03-17 22:48:20.618155,w,Data received successfully
2024-03-17 22:48:20.676722,w,Data received successfully
2024-03-17 22:48:20.728729,w,Data received successfully
2024-03-17 22:48:20.778277,w,Data received successfully
2024-03-17 22:48:20.839401,w,Data received successfully
2024-03-17 22:48:20.900966,w,Data received successfully
2024-03-17 22:48:20.950991,w,Data received successfully
2024-03-17 22:48:21.008535,w,Data received successfully
2024-03-17 22:48:21.058725,w,Data received successfully
2024-03-17 22:48:21.109260,w,Data received successfully
2024-03-17 22:48:21.172085,w,Data received successfully
2024-03-17 22:48:21.226293,w,Data received successfully
2024-03-17 22:48:21.294593,w,Data received successfully
2024-03-17 22:48:21.353724,w,Data received successfully
2024-03-17 22:48:21.413394,w,Data received successfully
2024-03-17 22:48:21.474978,w,Data received successfully
2024-03-17 22:48:21.534723,w,Data received successfully
2024-03-17 22:48:21.593836,w,Data received successfully
2024-03-17 22:48:21.640836,w,Data received successfully
2024-03-17 22:48:21.692958,w,Data received successfully
2024-03-17 22:48:21.746985,w,Data received successfully
2024-03-17 22:48:21.799531,w,Data received successfully
2024-03-17 22:48:21.849544,w,Data received successfully
2024-03-17 22:48:21.915229,w,Data received successfully
2024-03-17 22:48:21.990790,w,Data received successfully
2024-03-17 22:48:22.041846,w,Data received successfully
2024-03-17 22:48:22.124446,w,Data received successfully
2024-03-17 22:48:22.177067,w,Data received successfully
2024-03-17 22:48:22.227114,w,Data received successfully
2024-03-17 22:48:22.485633,w,Data received successfully
2024-03-17 22:48:22.538635,w,Data received successfully
2024-03-17 22:48:22.591167,w,Data received successfully
2024-03-17 22:48:22.643186,w,Data received successfully
2024-03-17 22:48:22.691829,w,Data received successfully
2024-03-17 22:48:22.741827,w,Data received successfully
2024-03-17 22:48:22.790448,w,Data received successfully
2024-03-17 22:48:22.840442,w,Data received successfully
2024-03-17 22:48:22.893109,w,Data received successfully
2024-03-17 22:48:22.952219,w,Data received successfully
2024-03-17 22:48:23.007065,w,Data received successfully
2024-03-17 22:48:23.062650,w,Data received successfully
2024-03-17 22:48:23.118416,w,Data received successfully
2024-03-17 22:48:23.170137,w,Data received successfully
2024-03-17 22:48:23.225836,w,Data received successfully
2024-03-17 22:48:23.286362,w,Data received successfully
2024-03-17 22:48:23.344563,w,Data received successfully
2024-03-17 22:48:23.404171,w,Data received successfully
2024-03-17 22:48:23.467798,w,Data received successfully
2024-03-17 22:48:23.518932,w,Data received successfully
2024-03-17 22:48:23.575642,w,Data received successfully
2024-03-17 22:48:23.624627,w,Data received successfully
2024-03-17 22:48:23.679431,w,Data received successfully
2024-03-17 22:48:23.752549,w,Data received successfully
2024-03-17 22:48:23.813088,w,Data received successfully
2024-03-17 22:48:23.873660,w,Data received successfully
2024-03-17 22:48:23.935852,w,Data received successfully
2024-03-17 22:48:23.993746,w,Data received successfully
2024-03-17 22:48:24.053758,w,Data received successfully
2024-03-17 22:48:24.108408,w,Data received successfully
2024-03-17 22:48:24.159419,w,Data received successfully
2024-03-17 22:48:24.221598,w,Data received successfully
2024-03-17 22:48:24.281743,w,Data received successfully
2024-03-17 22:48:24.333753,w,Data received successfully
2024-03-17 22:48:24.401654,w,Data received successfully
2024-03-17 22:48:24.461925,w,Data received successfully
2024-03-17 22:48:24.525627,w,Data received successfully
2024-03-17 22:48:24.575338,w,Data received successfully
2024-03-17 22:48:24.626324,w,Data received successfully
2024-03-17 22:48:24.678875,w,Data received successfully
2024-03-17 22:48:24.735870,w,Data received successfully
2024-03-17 22:48:24.790434,w,Data received successfully
2024-03-17 22:48:24.846433,w,Data received successfully
2024-03-17 22:48:24.901531,w,Data received successfully
2024-03-17 22:48:24.961145,w,Data received successfully
2024-03-17 22:48:25.009723,d,Data received successfully
2024-03-17 22:48:25.084986,k,Data received successfully
2024-03-17 22:48:25.141871,k,Data received successfully
2024-03-17 22:48:25.201583,k,Data received successfully
2024-03-17 22:48:25.250589,k,Data received successfully
2024-03-17 22:48:25.308162,k,Data received successfully
2024-03-17 22:48:25.368471,k,Data received successfully
2024-03-17 22:48:25.426616,k,Data received successfully
2024-03-17 22:48:25.489200,k,Data received successfully
2024-03-17 22:48:25.551330,d,Data received successfully
2024-03-17 22:48:25.600427,d,Data received successfully
2024-03-17 22:48:25.653457,d,Data received successfully
2024-03-17 22:48:25.718848,d,Data received successfully
2024-03-17 22:48:25.779429,d,Data received successfully
2024-03-17 22:48:25.850419,d,Data received successfully
2024-03-17 22:48:25.909949,d,Data received successfully
2024-03-17 22:48:25.962015,d,Data received successfully
2024-03-17 22:48:26.018467,d,Data received successfully
2024-03-17 22:48:26.077083,k,Data received successfully
2024-03-17 22:48:26.138068,k,Data received successfully
2024-03-17 22:48:26.197705,s,Data received successfully
2024-03-17 22:48:26.257728,s,Data received successfully
2024-03-17 22:48:26.311813,s,Data received successfully
2024-03-17 22:48:26.365960,s,Data received successfully
2024-03-17 22:48:26.439264,d,Data received successfully
2024-03-17 22:48:26.499881,d,Data received successfully
2024-03-17 22:48:26.554022,d,Data received successfully
2024-03-17 22:48:26.610590,d,Data received successfully
2024-03-17 22:48:26.667279,d,Data received successfully
2024-03-17 22:48:26.725538,d,Data received successfully
2024-03-17 22:48:26.783074,d,Data received successfully
2024-03-17 22:48:26.846126,d,Data received successfully
2024-03-17 22:48:26.922829,d,Data received successfully
2024-03-17 22:48:26.990960,d,Data received successfully
2024-03-17 22:48:27.058587,d,Data received successfully
2024-03-17 22:48:27.121323,d,Data received successfully
2024-03-17 22:48:27.172090,d,Data received successfully
2024-03-17 22:48:27.237856,d,Data received successfully
2024-03-17 22:48:27.299408,d,Data received successfully
2024-03-17 22:48:27.361454,d,Data received successfully
2024-03-17 22:48:27.413591,d,Data received successfully
2024-03-17 22:48:27.466634,d,Data received successfully
2024-03-17 22:48:27.539085,s,Data received successfully
2024-03-17 22:48:27.600621,s,Data received successfully
2024-03-17 22:48:27.651619,s,Data received successfully
2024-03-17 22:48:27.711031,s,Data received successfully
2024-03-17 22:48:27.774573,s,Data received successfully
2024-03-17 22:48:27.841577,d,Data received successfully
2024-03-17 22:48:27.903832,d,Data received successfully
2024-03-17 22:48:27.962853,d,Data received successfully
2024-03-17 22:48:28.022472,s,Data received successfully
2024-03-17 22:48:28.082014,s,Data received successfully
2024-03-17 22:48:28.142354,s,Data received successfully
2024-03-17 22:48:28.204057,d,Data received successfully
2024-03-17 22:48:28.264078,d,Data received successfully
2024-03-17 22:48:28.315835,d,Data received successfully
2024-03-17 22:48:28.371367,d,Data received successfully
2024-03-17 22:48:28.431540,d,Data received successfully
2024-03-17 22:48:28.491165,d,Data received successfully
2024-03-17 22:48:28.542171,k,Data received successfully
2024-03-17 22:48:28.600796,k,Data received successfully
2024-03-17 22:48:28.663789,d,Data received successfully
2024-03-17 22:48:28.721026,d,Data received successfully
2024-03-17 22:48:28.777605,k,Data received successfully
2024-03-17 22:48:28.836607,k,Data received successfully
2024-03-17 22:48:28.900151,k,Data received successfully
2024-03-17 22:48:28.958623,k,Data received successfully
2024-03-17 22:48:29.011190,k,Data received successfully
2024-03-17 22:48:29.068288,k,Data received successfully
2024-03-17 22:48:29.119921,k,Data received successfully
2024-03-17 22:48:29.213554,k,Data received successfully
2024-03-17 22:48:29.458901,k,Data received successfully
2024-03-17 22:48:29.519651,k,Data received successfully
2024-03-17 22:48:29.580649,k,Data received successfully
2024-03-17 22:48:29.633220,k,Data received successfully
2024-03-17 22:48:29.689853,k,Data received successfully
2024-03-17 22:48:29.740878,k,Data received successfully
2024-03-17 22:48:29.792571,k,Data received successfully
2024-03-17 22:48:29.841573,k,Data received successfully
2024-03-17 22:48:29.892129,k,Data received successfully
2024-03-17 22:48:29.957166,k,Data received successfully
2024-03-17 22:48:30.019632,k,Data received successfully
2024-03-17 22:48:30.080447,k,Data received successfully
2024-03-17 22:48:30.141615,k,Data received successfully
2024-03-17 22:48:30.194043,k,Data received successfully
2024-03-17 22:48:30.242366,k,Data received successfully
2024-03-17 22:48:30.304980,k,Data received successfully
2024-03-17 22:48:30.367470,k,Data received successfully
2024-03-17 22:48:30.427244,k,Data received successfully
2024-03-17 22:48:30.480822,k,Data received successfully
2024-03-17 22:48:30.535809,k,Data received successfully
2024-03-17 22:48:30.592416,k,Data received successfully
2024-03-17 22:48:30.646526,k,Data received successfully
2024-03-17 22:48:30.704132,k,Data received successfully
2024-03-17 22:48:30.755126,k,Data received successfully
2024-03-17 22:48:30.807724,k,Data received successfully
2024-03-17 22:48:30.861751,k,Data received successfully
2024-03-17 22:48:30.924472,k,Data received successfully
2024-03-17 22:48:30.975539,k,Data received successfully
2024-03-17 22:48:31.030556,k,Data received successfully
2024-03-17 22:48:31.085176,k,Data received successfully
2024-03-17 22:48:31.153472,k,Data received successfully
2024-03-17 22:48:31.214013,k,Data received successfully
2024-03-17 22:48:31.267019,k,Data received successfully
2024-03-17 22:48:31.320723,k,Data received successfully
2024-03-17 22:48:31.381327,k,Data received successfully
2024-03-17 22:48:31.431312,k,Data received successfully
2024-03-17 22:48:31.485845,k,Data received successfully
2024-03-17 22:48:31.545056,k,Data received successfully
2024-03-17 22:48:31.596673,k,Data received successfully
2024-03-17 22:48:31.651925,k,Data received successfully
2024-03-17 22:48:31.701464,k,Data received successfully
2024-03-17 22:48:31.770474,k,Data received successfully
2024-03-17 22:48:31.833018,k,Data received successfully
2024-03-17 22:48:31.890803,k,Data received successfully
2024-03-17 22:48:31.951971,k,Data received successfully
2024-03-17 22:48:32.008534,k,Data received successfully
2024-03-17 22:48:32.076293,k,Data received successfully
2024-03-17 22:48:32.132287,k,Data received successfully
2024-03-17 22:48:32.195066,k,Data received successfully
2024-03-17 22:48:32.253125,k,Data received successfully
2024-03-17 22:48:32.314941,k,Data received successfully
2024-03-17 22:48:32.375026,k,Data received successfully
2024-03-17 22:48:32.434289,k,Data received successfully
2024-03-17 22:48:32.495934,k,Data received successfully
2024-03-17 22:48:32.556908,k,Data received successfully
2024-03-17 22:48:32.608410,k,Data received successfully
2024-03-17 22:48:32.667424,k,Data received successfully
2024-03-17 22:48:32.718074,k,Data received successfully
2024-03-17 22:48:32.771087,k,Data received successfully
2024-03-17 22:48:32.827642,k,Data received successfully
2024-03-17 22:48:32.889373,k,Data received successfully
2024-03-17 22:48:32.964406,k,Data received successfully
2024-03-17 22:48:33.022918,k,Data received successfully
2024-03-17 22:48:33.073954,k,Data received successfully
2024-03-17 22:48:33.123633,k,Data received successfully
2024-03-17 22:48:33.189904,k,Data received successfully
2024-03-17 22:48:33.244938,k,Data received successfully
2024-03-17 22:48:33.302275,k,Data received successfully
2024-03-17 22:48:33.354407,k,Data received successfully
2024-03-17 22:48:33.409613,k,Data received successfully
2024-03-17 22:48:33.478113,k,Data received successfully
2024-03-17 22:48:33.532117,k,Data received successfully
2024-03-17 22:48:33.613694,k,Data received successfully
2024-03-17 22:48:33.673787,k,Data received successfully
2024-03-17 22:48:33.726997,k,Data received successfully
2024-03-17 22:48:33.795270,k,Data received successfully
2024-03-17 22:48:33.853261,k,Data received successfully
2024-03-17 22:48:33.915854,k,Data received successfully
2024-03-17 22:48:33.974045,k,Data received successfully
2024-03-17 22:48:34.034604,k,Data received successfully
2024-03-17 22:48:34.094250,k,Data received successfully
2024-03-17 22:48:34.148320,k,Data received successfully
2024-03-17 22:48:34.200991,k,Data received successfully
2024-03-17 22:48:34.253979,k,Data received successfully
2024-03-17 22:48:34.305779,k,Data received successfully
2024-03-17 22:48:34.369059,k,Data received successfully
2024-03-17 22:48:34.423600,k,Data received successfully
2024-03-17 22:48:34.478168,k,Data received successfully
2024-03-17 22:48:34.551310,k,Data received successfully
2024-03-17 22:48:34.609823,k,Data received successfully
2024-03-17 22:48:34.672923,k,Data received successfully
2024-03-17 22:48:34.759474,k,Data received successfully
2024-03-17 22:48:34.822046,k,Data received successfully
2024-03-17 22:48:34.877162,k,Data received successfully
2024-03-17 22:48:34.943303,k,Data received successfully
2024-03-17 22:48:35.006861,k,Data received successfully
2024-03-17 22:48:35.078138,k,Data received successfully
2024-03-17 22:48:35.138767,k,Data received successfully
2024-03-17 22:48:35.198368,k,Data received successfully
2024-03-17 22:48:35.257388,k,Data received successfully
2024-03-17 22:48:35.321012,k,Data received successfully
2024-03-17 22:48:35.385911,k,Data received successfully
2024-03-17 22:48:35.449032,k,Data received successfully
2024-03-17 22:48:35.515136,k,Data received successfully
2024-03-17 22:48:35.576148,k,Data received successfully
2024-03-17 22:48:35.633272,k,Data received successfully
2024-03-17 22:48:35.685624,k,Data received successfully
2024-03-17 22:48:35.737622,r,Data received successfully
2024-03-17 22:48:35.790262,k,Data received successfully
2024-03-17 22:48:35.843332,s,Data received successfully
2024-03-17 22:48:35.909952,s,Data received successfully
2024-03-17 22:48:35.963940,s,Data received successfully
2024-03-17 22:48:36.016497,s,Data received successfully
2024-03-17 22:48:36.076593,s,Data received successfully
2024-03-17 22:48:36.134917,s,Data received successfully
2024-03-17 22:48:36.198554,s,Data received successfully
2024-03-17 22:48:36.268561,s,Data received successfully
2024-03-17 22:48:36.331103,s,Data received successfully
2024-03-17 22:48:36.390832,s,Data received successfully
2024-03-17 22:48:36.446938,s,Data received successfully
2024-03-17 22:48:36.510219,s,Data received successfully
2024-03-17 22:48:36.570586,s,Data received successfully
2024-03-17 22:48:36.630239,s,Data received successfully
2024-03-17 22:48:36.689801,s,Data received successfully
2024-03-17 22:48:36.752814,s,Data received successfully
2024-03-17 22:48:37.123705,s,Data received successfully
2024-03-17 22:48:37.257259,s,Data received successfully
2024-03-17 22:48:37.341835,s,Data received successfully
2024-03-17 22:48:37.417412,s,Data received successfully
2024-03-17 22:48:37.484879,s,Data received successfully
2024-03-17 22:48:37.541910,s,Data received successfully
2024-03-17 22:48:37.608454,s,Data received successfully
2024-03-17 22:48:37.667575,s,Data received successfully
2024-03-17 22:48:37.731910,s,Data received successfully
2024-03-17 22:48:37.788818,s,Data received successfully
2024-03-17 22:48:37.849811,s,Data received successfully
2024-03-17 22:48:37.907358,s,Data received successfully
2024-03-17 22:48:37.975364,s,Data received successfully
2024-03-17 22:48:38.041885,s,Data received successfully
2024-03-17 22:48:38.091465,s,Data received successfully
2024-03-17 22:48:38.153462,s,Data received successfully
2024-03-17 22:48:38.215814,s,Data received successfully
2024-03-17 22:48:38.273837,s,Data received successfully
2024-03-17 22:48:38.330377,s,Data received successfully
2024-03-17 22:48:38.385947,s,Data received successfully
2024-03-17 22:48:38.439007,s,Data received successfully
2024-03-17 22:48:38.491334,s,Data received successfully
2024-03-17 22:48:38.547335,s,Data received successfully
2024-03-17 22:48:38.606737,s,Data received successfully
2024-03-17 22:48:38.661896,s,Data received successfully
2024-03-17 22:48:38.722558,s,Data received successfully
2024-03-17 22:48:38.774566,s,Data received successfully
2024-03-17 22:48:38.834170,s,Data received successfully
2024-03-17 22:48:38.895881,s,Data received successfully
2024-03-17 22:48:38.957191,s,Data received successfully
2024-03-17 22:48:39.017803,s,Data received successfully
2024-03-17 22:48:39.076963,s,Data received successfully
2024-03-17 22:48:39.137489,s,Data received successfully
2024-03-17 22:48:39.194102,s,Data received successfully
2024-03-17 22:48:39.257436,s,Data received successfully
2024-03-17 22:48:39.308085,s,Data received successfully
2024-03-17 22:48:39.364237,s,Data received successfully
2024-03-17 22:48:39.439089,s,Data received successfully
2024-03-17 22:48:39.513209,s,Data received successfully
2024-03-17 22:48:39.594528,s,Data received successfully
2024-03-17 22:48:39.654511,s,Data received successfully
2024-03-17 22:48:39.713686,s,Data received successfully
2024-03-17 22:48:39.769712,s,Data received successfully
2024-03-17 22:48:39.826813,s,Data received successfully
2024-03-17 22:48:39.878910,s,Data received successfully
2024-03-17 22:48:39.937401,j,Data received successfully
2024-03-17 22:48:39.992166,j,Data received successfully
2024-03-17 22:48:40.049156,r,Data received successfully
2024-03-17 22:48:40.120691,r,Data received successfully
2024-03-17 22:48:40.182704,j,Data received successfully
2024-03-17 22:48:40.238226,j,Data received successfully
2024-03-17 22:48:40.298435,r,Data received successfully
2024-03-17 22:48:40.360452,r,Data received successfully
2024-03-17 22:48:40.418534,j,Data received successfully
2024-03-17 22:48:40.478617,j,Data received successfully
2024-03-17 22:48:40.539774,j,Data received successfully
2024-03-17 22:48:40.600039,r,Data received successfully
2024-03-17 22:48:40.652055,j,Data received successfully
2024-03-17 22:48:40.705503,r,Data received successfully
2024-03-17 22:48:40.765501,j,Data received successfully
2024-03-17 22:48:40.825173,j,Data received successfully
2024-03-17 22:48:40.886723,j,Data received successfully
2024-03-17 22:48:40.944742,r,Data received successfully
2024-03-17 22:48:41.006411,j,Data received successfully
2024-03-17 22:48:41.059405,r,Data received successfully
2024-03-17 22:48:41.115139,r,Data received successfully
2024-03-17 22:48:41.170150,j,Data received successfully
2024-03-17 22:48:41.225746,j,Data received successfully
2024-03-17 22:48:41.280764,j,Data received successfully
2024-03-17 22:48:41.349132,j,Data received successfully
2024-03-17 22:48:41.415058,j,Data received successfully
2024-03-17 22:48:41.475091,j,Data received successfully
2024-03-17 22:48:41.536481,j,Data received successfully
2024-03-17 22:48:41.590046,j,Data received successfully
2024-03-17 22:48:41.645122,j,Data received successfully
2024-03-17 22:48:41.697692,j,Data received successfully
2024-03-17 22:48:41.774210,j,Data received successfully
2024-03-17 22:48:41.836679,j,Data received successfully
2024-03-17 22:48:41.897284,r,Data received successfully
2024-03-17 22:48:41.957448,r,Data received successfully
2024-03-17 22:48:42.020623,r,Data received successfully
2024-03-17 22:48:42.081864,r,Data received successfully
2024-03-17 22:48:42.140571,r,Data received successfully
2024-03-17 22:48:42.218518,r,Data received successfully
2024-03-17 22:48:42.283878,r,Data received successfully
2024-03-17 22:48:42.336547,r,Data received successfully
2024-03-17 22:48:42.396135,r,Data received successfully
2024-03-17 22:48:42.458139,j,Data received successfully
2024-03-17 22:48:42.519898,r,Data received successfully
2024-03-17 22:48:42.577540,j,Data received successfully
2024-03-17 22:48:42.630849,j,Data received successfully
2024-03-17 22:48:42.686930,j,Data received successfully
2024-03-17 22:48:42.764538,j,Data received successfully
2024-03-17 22:48:42.819141,j,Data received successfully
2024-03-17 22:48:42.870140,j,Data received successfully
2024-03-17 22:48:42.941695,r,Data received successfully
2024-03-17 22:48:43.000505,j,Data received successfully
2024-03-17 22:48:43.060838,j,Data received successfully
2024-03-17 22:48:43.116617,j,Data received successfully
2024-03-17 22:48:43.170676,j,Data received successfully
2024-03-17 22:48:43.228260,j,Data received successfully
2024-03-17 22:48:43.285295,j,Data received successfully
2024-03-17 22:48:43.340745,j,Data received successfully
2024-03-17 22:48:43.394483,j,Data received successfully
2024-03-17 22:48:43.454654,j,Data received successfully
2024-03-17 22:48:43.508218,j,Data received successfully
2024-03-17 22:48:43.573326,j,Data received successfully
2024-03-17 22:48:43.627894,j,Data received successfully
2024-03-17 22:48:43.683092,j,Data received successfully
2024-03-17 22:48:43.741626,j,Data received successfully
2024-03-17 22:48:43.825194,j,Data received successfully
2024-03-17 22:48:43.892731,j,Data received successfully
2024-03-17 22:48:43.951768,j,Data received successfully
2024-03-17 22:48:44.012328,r,Data received successfully
2024-03-17 22:48:44.062341,r,Data received successfully
2024-03-17 22:48:44.115915,r,Data received successfully
2024-03-17 22:48:44.178349,r,Data received successfully
2024-03-17 22:48:44.238878,j,Data received successfully
2024-03-17 22:48:44.301725,r,Data received successfully
2024-03-17 22:48:44.357824,j,Data received successfully
2024-03-17 22:48:44.420537,j,Data received successfully
2024-03-17 22:48:44.474613,r,Data received successfully
2024-03-17 22:48:44.541202,j,Data received successfully
2024-03-17 22:48:44.602739,r,Data received successfully
2024-03-17 22:48:44.656741,r,Data received successfully
2024-03-17 22:48:44.719181,r,Data received successfully
2024-03-17 22:48:44.784190,r,Data received successfully
2024-03-17 22:48:44.849584,r,Data received successfully
2024-03-17 22:48:44.905114,r,Data received successfully
2024-03-17 22:48:44.978312,r,Data received successfully
2024-03-17 22:48:45.028526,j,Data received successfully
2024-03-17 22:48:45.102033,j,Data received successfully
2024-03-17 22:48:45.160196,r,Data received successfully
2024-03-17 22:48:45.213813,r,Data received successfully
2024-03-17 22:48:45.270019,r,Data received successfully
2024-03-17 22:48:45.329775,r,Data received successfully
2024-03-17 22:48:45.390771,r,Data received successfully
2024-03-17 22:48:45.452012,r,Data received successfully
2024-03-17 22:48:45.504475,r,Data received successfully
2024-03-17 22:48:45.564473,r,Data received successfully
2024-03-17 22:48:45.618024,r,Data received successfully
2024-03-17 22:48:45.672481,r,Data received successfully
2024-03-17 22:48:45.735011,j,Data received successfully
2024-03-17 22:48:45.789034,j,Data received successfully
2024-03-17 22:48:45.847898,j,Data received successfully
2024-03-17 22:48:45.906489,j,Data received successfully
2024-03-17 22:48:45.966649,j,Data received successfully
2024-03-17 22:48:46.020276,j,Data received successfully
2024-03-17 22:48:46.112850,r,Data received successfully
2024-03-17 22:48:46.188875,j,Data received successfully
2024-03-17 22:48:46.249660,j,Data received successfully
2024-03-17 22:48:46.306623,j,Data received successfully
2024-03-17 22:48:46.364622,j,Data received successfully
2024-03-17 22:48:46.428248,j,Data received successfully
2024-03-17 22:48:46.660777,j,Data received successfully
2024-03-17 22:48:46.715220,j,Data received successfully
2024-03-17 22:48:46.774218,j,Data received successfully
2024-03-17 22:48:46.835767,j,Data received successfully
2024-03-17 22:48:46.896347,j,Data received successfully
2024-03-17 22:48:46.956479,j,Data received successfully
2024-03-17 22:48:47.013034,r,Data received successfully
2024-03-17 22:48:47.067049,j,Data received successfully
2024-03-17 22:48:47.122423,j,Data received successfully
2024-03-17 22:48:47.182431,j,Data received successfully
2024-03-17 22:48:47.243073,j,Data received successfully
2024-03-17 22:48:47.307800,j,Data received successfully
2024-03-17 22:48:47.366785,r,Data received successfully
